Alpha,-0.5, , Alpha,-1, , Alpha,-1.5, , Alpha,-2, , Alpha,-2.5, , Alpha,-3, , Alpha,-3.5, , Alpha,-4, , Alpha,-4.5, , Alpha,-5, , Alpha,0, , Alpha,0.5, , Alpha,1, , Alpha,1.5, , Alpha,2, , Alpha,2.5, , Alpha,3, , Alpha,3.5, , Alpha,4, , Alpha,4.5, , Alpha,5, , 
           -1,   0.002654171, ,            -1,   0.005308362, ,            -1,   0.007962595, ,            -1,    0.01061689, ,            -1,    0.01327127, ,            -1,    0.01592575, ,            -1,    0.01858036, ,            -1,    0.02123513, ,            -1,    0.02389007, ,            -1,    0.02654521, ,            -1, -4.907067e-17, ,            -1,  -0.002654171, ,            -1,  -0.005308362, ,            -1,  -0.007962595, ,            -1,   -0.01061689, ,            -1,   -0.01327127, ,            -1,   -0.01592575, ,            -1,   -0.01858036, ,            -1,   -0.02123513, ,            -1,   -0.02389007, ,            -1,   -0.02654521, , 
         -0.5,   0.002659234, ,          -0.5,   0.005318488, ,          -0.5,   0.007977781, ,          -0.5,    0.01063713, ,          -0.5,    0.01329657, ,          -0.5,     0.0159561, ,          -0.5,    0.01861576, ,          -0.5,    0.02127557, ,          -0.5,    0.02393556, ,          -0.5,    0.02659574, ,          -0.5, -6.779439e-17, ,          -0.5,  -0.002659234, ,          -0.5,  -0.005318488, ,          -0.5,  -0.007977781, ,          -0.5,   -0.01063713, ,          -0.5,   -0.01329657, ,          -0.5,    -0.0159561, ,          -0.5,   -0.01861576, ,          -0.5,   -0.02127557, ,          -0.5,   -0.02393556, ,          -0.5,   -0.02659574, , 
            0,   0.002662738, ,             0,   0.005325495, ,             0,    0.00798829, ,             0,    0.01065114, ,             0,    0.01331407, ,             0,    0.01597711, ,             0,    0.01864027, ,             0,    0.02130357, ,             0,    0.02396706, ,             0,    0.02663074, ,             0,  -8.91136e-17, ,             0,  -0.002662738, ,             0,  -0.005325495, ,             0,   -0.00798829, ,             0,   -0.01065114, ,             0,   -0.01331407, ,             0,   -0.01597711, ,             0,   -0.01864027, ,             0,   -0.02130357, ,             0,   -0.02396706, ,             0,   -0.02663074, , 
          0.5,   0.002664684, ,           0.5,   0.005329386, ,           0.5,   0.007994125, ,           0.5,    0.01065892, ,           0.5,     0.0133238, ,           0.5,    0.01598877, ,           0.5,    0.01865388, ,           0.5,    0.02131913, ,           0.5,    0.02398457, ,           0.5,    0.02665022, ,           0.5, -1.073022e-16, ,           0.5,  -0.002664684, ,           0.5,  -0.005329386, ,           0.5,  -0.007994125, ,           0.5,   -0.01065892, ,           0.5,    -0.0133238, ,           0.5,   -0.01598877, ,           0.5,   -0.01865388, ,           0.5,   -0.02131913, ,           0.5,   -0.02398457, ,           0.5,   -0.02665022, , 
            1,   0.002665075, ,             1,   0.005330167, ,             1,   0.007995296, ,             1,    0.01066048, ,             1,    0.01332574, ,             1,    0.01599111, ,             1,     0.0186566, ,             1,    0.02132226, ,             1,    0.02398811, ,             1,    0.02665418, ,             1, -1.247913e-16, ,             1,  -0.002665075, ,             1,  -0.005330167, ,             1,  -0.007995296, ,             1,   -0.01066048, ,             1,   -0.01332574, ,             1,   -0.01599111, ,             1,    -0.0186566, ,             1,   -0.02132226, ,             1,   -0.02398811, ,             1,   -0.02665418, , 
          1.5,   0.002663916, ,           1.5,   0.005327849, ,           1.5,   0.007991815, ,           1.5,    0.01065583, ,           1.5,    0.01331993, ,           1.5,    0.01598413, ,           1.5,    0.01864847, ,           1.5,    0.02131297, ,           1.5,    0.02397768, ,           1.5,    0.02664264, ,           1.5, -1.445132e-16, ,           1.5,  -0.002663916, ,           1.5,  -0.005327849, ,           1.5,  -0.007991815, ,           1.5,   -0.01065583, ,           1.5,   -0.01331993, ,           1.5,   -0.01598413, ,           1.5,   -0.01864847, ,           1.5,   -0.02131297, ,           1.5,   -0.02397768, ,           1.5,   -0.02664264, , 
            2,   0.002661216, ,             2,   0.005322446, ,             2,   0.007983705, ,             2,    0.01064501, ,             2,    0.01330639, ,             2,    0.01596788, ,             2,     0.0186295, ,             2,     0.0212913, ,             2,    0.02395332, ,             2,     0.0266156, ,             2, -1.705067e-16, ,             2,  -0.002661216, ,             2,  -0.005322446, ,             2,  -0.007983705, ,             2,   -0.01064501, ,             2,   -0.01330639, ,             2,   -0.01596788, ,             2,    -0.0186295, ,             2,    -0.0212913, ,             2,   -0.02395332, ,             2,    -0.0266156, , 
          2.5,   0.002656986, ,           2.5,   0.005313982, ,           2.5,   0.007970999, ,           2.5,    0.01062805, ,           2.5,    0.01328518, ,           2.5,    0.01594239, ,           2.5,    0.01859974, ,           2.5,    0.02125728, ,           2.5,    0.02391505, ,           2.5,    0.02657311, ,           2.5, -1.869248e-16, ,           2.5,  -0.002656986, ,           2.5,  -0.005313982, ,           2.5,  -0.007970999, ,           2.5,   -0.01062805, ,           2.5,   -0.01328518, ,           2.5,   -0.01594239, ,           2.5,   -0.01859974, ,           2.5,   -0.02125728, ,           2.5,   -0.02391505, ,           2.5,   -0.02657311, , 
            3,   0.002651244, ,             3,   0.005302491, ,             3,   0.007953746, ,             3,    0.01060502, ,             3,    0.01325635, ,             3,    0.01590775, ,             3,    0.01855929, ,             3,      0.021211, ,             3,    0.02386296, ,             3,    0.02651522, ,             3, -2.028071e-16, ,             3,  -0.002651244, ,             3,  -0.005302491, ,             3,  -0.007953746, ,             3,   -0.01060502, ,             3,   -0.01325635, ,             3,   -0.01590775, ,             3,   -0.01855929, ,             3,     -0.021211, ,             3,   -0.02386296, ,             3,   -0.02651522, , 
          3.5,   0.002644017, ,           3.5,   0.005288024, ,           3.5,   0.007932018, ,           3.5,    0.01057601, ,           3.5,    0.01322001, ,           3.5,    0.01586407, ,           3.5,    0.01850824, ,           3.5,    0.02115257, ,           3.5,    0.02379715, ,           3.5,    0.02644203, ,           3.5,  -2.20785e-16, ,           3.5,  -0.002644017, ,           3.5,  -0.005288024, ,           3.5,  -0.007932018, ,           3.5,   -0.01057601, ,           3.5,   -0.01322001, ,           3.5,   -0.01586407, ,           3.5,   -0.01850824, ,           3.5,   -0.02115257, ,           3.5,   -0.02379715, ,           3.5,   -0.02644203, , 
