Alpha,-0.5, , Alpha,-1, , Alpha,-1.5, , Alpha,-2, , Alpha,-2.5, , Alpha,-3, , Alpha,-3.5, , Alpha,-4, , Alpha,-4.5, , Alpha,-5, , Alpha,0, , Alpha,0.5, , Alpha,1, , Alpha,1.5, , Alpha,2, , Alpha,2.5, , Alpha,3, , Alpha,3.5, , Alpha,4, , Alpha,4.5, , Alpha,5, , 
           -1,  -0.001444186, ,            -1,  -0.002888134, ,            -1,   -0.00433145, ,            -1,  -0.005773846, ,            -1,   -0.00721506, ,            -1,  -0.008654797, ,            -1,   -0.01009277, ,            -1,   -0.01152869, ,            -1,   -0.01296227, ,            -1,   -0.01439319, ,            -1,  1.431338e-17, ,            -1,   0.001444186, ,            -1,   0.002888134, ,            -1,    0.00433145, ,            -1,   0.005773846, ,            -1,    0.00721506, ,            -1,   0.008654797, ,            -1,    0.01009277, ,            -1,    0.01152869, ,            -1,    0.01296227, ,            -1,    0.01439319, , 
         -0.5,  -0.001448162, ,          -0.5,  -0.002896022, ,          -0.5,  -0.004343284, ,          -0.5,  -0.005789692, ,          -0.5,  -0.007235002, ,          -0.5,  -0.008678855, ,          -0.5,   -0.01012088, ,          -0.5,   -0.01156084, ,          -0.5,   -0.01299845, ,          -0.5,   -0.01443342, ,          -0.5,  1.213503e-17, ,          -0.5,   0.001448162, ,          -0.5,   0.002896022, ,          -0.5,   0.004343284, ,          -0.5,   0.005789692, ,          -0.5,   0.007235002, ,          -0.5,   0.008678855, ,          -0.5,    0.01012088, ,          -0.5,    0.01156084, ,          -0.5,    0.01299845, ,          -0.5,    0.01443342, , 
            0,  -0.001453285, ,             0,  -0.002906286, ,             0,  -0.004358693, ,             0,  -0.005810201, ,             0,  -0.007260511, ,             0,  -0.008708963, ,             0,   -0.01015533, ,             0,   -0.01159932, ,             0,   -0.01304076, ,             0,   -0.01447951, ,             0,  1.056264e-17, ,             0,   0.001453285, ,             0,   0.002906286, ,             0,   0.004358693, ,             0,   0.005810201, ,             0,   0.007260511, ,             0,   0.008708963, ,             0,    0.01015533, ,             0,    0.01159932, ,             0,    0.01304076, ,             0,    0.01447951, , 
          0.5,  -0.001455624, ,           0.5,  -0.002911013, ,           0.5,  -0.004366024, ,           0.5,  -0.005820148, ,           0.5,   -0.00727289, ,           0.5,   -0.00872365, ,           0.5,     -0.010172, ,           0.5,    -0.0116182, ,           0.5,   -0.01306234, ,           0.5,   -0.01450394, ,           0.5,  6.195127e-18, ,           0.5,   0.001455624, ,           0.5,   0.002911013, ,           0.5,   0.004366024, ,           0.5,   0.005820148, ,           0.5,    0.00727289, ,           0.5,    0.00872365, ,           0.5,      0.010172, ,           0.5,     0.0116182, ,           0.5,    0.01306234, ,           0.5,    0.01450394, , 
            1,  -0.001456846, ,             1,  -0.002913374, ,             1,  -0.004370203, ,             1,  -0.005827535, ,             1,  -0.007284072, ,             1,  -0.008739549, ,             1,   -0.01019347, ,             1,   -0.01164558, ,             1,   -0.01309568, ,             1,   -0.01454342, ,             1, -8.631169e-19, ,             1,   0.001456846, ,             1,   0.002913374, ,             1,   0.004370203, ,             1,   0.005827535, ,             1,   0.007284072, ,             1,   0.008739549, ,             1,    0.01019347, ,             1,    0.01164558, ,             1,    0.01309568, ,             1,    0.01454342, , 
          1.5,  -0.001472926, ,           1.5,  -0.002945671, ,           1.5,  -0.004417735, ,           1.5,  -0.005888963, ,           1.5,  -0.007358965, ,           1.5,  -0.008827128, ,           1.5,   -0.01029345, ,           1.5,   -0.01175762, ,           1.5,   -0.01321894, ,           1.5,   -0.01467737, ,           1.5,  6.092808e-18, ,           1.5,   0.001472926, ,           1.5,   0.002945671, ,           1.5,   0.004417735, ,           1.5,   0.005888963, ,           1.5,   0.007358965, ,           1.5,   0.008827128, ,           1.5,    0.01029345, ,           1.5,    0.01175762, ,           1.5,    0.01321894, ,           1.5,    0.01467737, , 
            2,  -0.001482673, ,             2,  -0.002965002, ,             2,  -0.004446678, ,             2,   -0.00592741, ,             2,  -0.007406884, ,             2,  -0.008884779, ,             2,   -0.01036072, ,             2,   -0.01183458, ,             2,   -0.01330605, ,             2,   -0.01477477, ,             2,   4.27838e-18, ,             2,   0.001482673, ,             2,   0.002965002, ,             2,   0.004446678, ,             2,    0.00592741, ,             2,   0.007406884, ,             2,   0.008884779, ,             2,    0.01036072, ,             2,    0.01183458, ,             2,    0.01330605, ,             2,    0.01477477, , 
          2.5,  -0.001493921, ,           2.5,  -0.002987478, ,           2.5,  -0.004480354, ,           2.5,  -0.005972284, ,           2.5,  -0.007462915, ,           2.5,  -0.008951942, ,           2.5,   -0.01043905, ,           2.5,   -0.01192381, ,           2.5,    -0.0134059, ,           2.5,   -0.01488494, ,           2.5,  5.601831e-18, ,           2.5,   0.001493921, ,           2.5,   0.002987478, ,           2.5,   0.004480354, ,           2.5,   0.005972284, ,           2.5,   0.007462915, ,           2.5,   0.008951942, ,           2.5,    0.01043905, ,           2.5,    0.01192381, ,           2.5,     0.0134059, ,           2.5,    0.01488494, , 
            3,  -0.001504588, ,             3,   -0.00300882, ,             3,  -0.004512377, ,             3,  -0.006014909, ,             3,  -0.007516015, ,             3,  -0.009015467, ,             3,   -0.01051296, ,             3,   -0.01200819, ,             3,   -0.01350084, ,             3,   -0.01499064, ,             3,  1.024169e-18, ,             3,   0.001504588, ,             3,    0.00300882, ,             3,   0.004512377, ,             3,   0.006014909, ,             3,   0.007516015, ,             3,   0.009015467, ,             3,    0.01051296, ,             3,    0.01200819, ,             3,    0.01350084, ,             3,    0.01499064, , 
          3.5,  -0.001516294, ,           3.5,  -0.003032229, ,           3.5,  -0.004547461, ,           3.5,  -0.006061649, ,           3.5,  -0.007574458, ,           3.5,  -0.009085565, ,           3.5,   -0.01059464, ,           3.5,   -0.01210134, ,           3.5,   -0.01360534, ,           3.5,   -0.01510637, ,           3.5,  2.941721e-19, ,           3.5,   0.001516294, ,           3.5,   0.003032229, ,           3.5,   0.004547461, ,           3.5,   0.006061649, ,           3.5,   0.007574458, ,           3.5,   0.009085565, ,           3.5,    0.01059464, ,           3.5,    0.01210134, ,           3.5,    0.01360534, ,           3.5,    0.01510637, , 
            4,  -0.001528591, ,             4,  -0.003056817, ,             4,  -0.004584321, ,             4,  -0.006110743, ,             4,  -0.007635723, ,             4,  -0.009158933, ,             4,   -0.01068009, ,             4,   -0.01219884, ,             4,   -0.01371488, ,             4,   -0.01522792, ,             4, -7.043146e-19, ,             4,   0.001528591, ,             4,   0.003056817, ,             4,   0.004584321, ,             4,   0.006110743, ,             4,   0.007635723, ,             4,   0.009158933, ,             4,    0.01068009, ,             4,    0.01219884, ,             4,    0.01371488, ,             4,    0.01522792, , 
          4.5,  -0.001542117, ,           4.5,  -0.003083841, ,           4.5,  -0.004624749, ,           4.5,  -0.006164475, ,           4.5,   -0.00770263, ,           4.5,  -0.009238927, ,           4.5,   -0.01077304, ,           4.5,   -0.01230467, ,           4.5,   -0.01383352, ,           4.5,    -0.0153593, ,           4.5,   1.02113e-19, ,           4.5,   0.001542117, ,           4.5,   0.003083841, ,           4.5,   0.004624749, ,           4.5,   0.006164475, ,           4.5,    0.00770263, ,           4.5,   0.009238927, ,           4.5,    0.01077304, ,           4.5,    0.01230467, ,           4.5,    0.01383352, ,           4.5,     0.0153593, , 
            5,   -0.00155637, ,             5,  -0.003112318, ,             5,  -0.004667432, ,             5,  -0.006221327, ,             5,  -0.007773617, ,             5,  -0.009323953, ,             5,     -0.010872, ,             5,   -0.01241743, ,             5,      -0.01396, ,             5,   -0.01549942, ,             5, -4.772843e-18, ,             5,    0.00155637, ,             5,   0.003112318, ,             5,   0.004667432, ,             5,   0.006221327, ,             5,   0.007773617, ,             5,   0.009323953, ,             5,      0.010872, ,             5,    0.01241743, ,             5,       0.01396, ,             5,    0.01549942, , 
          5.5,  -0.001571462, ,           5.5,   -0.00314248, ,           5.5,  -0.004712578, ,           5.5,  -0.006281343, ,           5.5,  -0.007848356, ,           5.5,  -0.009413273, ,           5.5,   -0.01097577, ,           5.5,   -0.01253555, ,           5.5,   -0.01409239, ,           5.5,   -0.01564604, ,           5.5, -3.626241e-18, ,           5.5,   0.001571462, ,           5.5,    0.00314248, ,           5.5,   0.004712578, ,           5.5,   0.006281343, ,           5.5,   0.007848356, ,           5.5,   0.009413273, ,           5.5,    0.01097577, ,           5.5,    0.01253555, ,           5.5,    0.01409239, ,           5.5,    0.01564604, , 
            6,  -0.001587065, ,             6,  -0.003173635, ,             6,  -0.004759239, ,             6,  -0.006343408, ,             6,  -0.007925692, ,             6,  -0.009505669, ,             6,   -0.01108303, ,             6,   -0.01265753, ,             6,   -0.01422901, ,             6,   -0.01579729, ,             6, -5.218046e-18, ,             6,   0.001587065, ,             6,   0.003173635, ,             6,   0.004759239, ,             6,   0.006343408, ,             6,   0.007925692, ,             6,   0.009505669, ,             6,    0.01108303, ,             6,    0.01265753, ,             6,    0.01422901, ,             6,    0.01579729, , 
          6.5,  -0.001603599, ,           6.5,  -0.003206668, ,           6.5,  -0.004808687, ,           6.5,  -0.006409114, ,           6.5,   -0.00800743, ,           6.5,  -0.009603152, ,           6.5,   -0.01119599, ,           6.5,   -0.01278571, ,           6.5,   -0.01437227, ,           6.5,   -0.01595565, ,           6.5, -9.085594e-18, ,           6.5,   0.001603599, ,           6.5,   0.003206668, ,           6.5,   0.004808687, ,           6.5,   0.006409114, ,           6.5,    0.00800743, ,           6.5,   0.009603152, ,           6.5,    0.01119599, ,           6.5,    0.01278571, ,           6.5,    0.01437227, ,           6.5,    0.01595565, , 
