Alpha,-0.5, , Alpha,-1, , Alpha,-1.5, , Alpha,-2, , Alpha,-2.5, , Alpha,-3, , Alpha,-3.5, , Alpha,-4, , Alpha,-4.5, , Alpha,-5, , Alpha,0, , Alpha,0.5, , Alpha,1, , Alpha,1.5, , Alpha,2, , Alpha,2.5, , Alpha,3, , Alpha,3.5, , Alpha,4, , Alpha,4.5, , Alpha,5, , 
           -1,   0.001011239, ,            -1,   0.002022217, ,            -1,   0.003032677, ,            -1,   0.004042358, ,            -1,   0.005051003, ,            -1,   0.006058355, ,            -1,   0.007064161, ,            -1,   0.008068167, ,            -1,   0.009070123, ,            -1,    0.01006978, ,            -1, -1.084436e-16, ,            -1,  -0.001011239, ,            -1,  -0.002022217, ,            -1,  -0.003032677, ,            -1,  -0.004042358, ,            -1,  -0.005051003, ,            -1,  -0.006058355, ,            -1,  -0.007064161, ,            -1,  -0.008068167, ,            -1,  -0.009070123, ,            -1,   -0.01006978, , 
         -0.5,   0.001070097, ,          -0.5,   0.002139896, ,          -0.5,   0.003209099, ,          -0.5,   0.004277409, ,          -0.5,   0.005344529, ,          -0.5,   0.006410165, ,          -0.5,   0.007474022, ,          -0.5,   0.008535811, ,          -0.5,   0.009595243, ,          -0.5,    0.01065203, ,          -0.5, -1.895006e-16, ,          -0.5,  -0.001070097, ,          -0.5,  -0.002139896, ,          -0.5,  -0.003209099, ,          -0.5,  -0.004277409, ,          -0.5,  -0.005344529, ,          -0.5,  -0.006410165, ,          -0.5,  -0.007474022, ,          -0.5,  -0.008535811, ,          -0.5,  -0.009595243, ,          -0.5,   -0.01065203, , 
            0,   0.001129141, ,             0,   0.002257945, ,             0,   0.003386077, ,             0,     0.0045132, ,             0,   0.005638981, ,             0,   0.006763084, ,             0,   0.007885179, ,             0,   0.009004934, ,             0,    0.01012202, ,             0,    0.01123612, ,             0, -2.731273e-16, ,             0,  -0.001129141, ,             0,  -0.002257945, ,             0,  -0.003386077, ,             0,    -0.0045132, ,             0,  -0.005638981, ,             0,  -0.006763084, ,             0,  -0.007885179, ,             0,  -0.009004934, ,             0,   -0.01012202, ,             0,   -0.01123612, , 
          0.5,    0.00118828, ,           0.5,   0.002376187, ,           0.5,   0.003563345, ,           0.5,    0.00474938, ,           0.5,   0.005933921, ,           0.5,   0.007116592, ,           0.5,   0.008297024, ,           0.5,   0.009474845, ,           0.5,    0.01064969, ,           0.5,    0.01182119, ,           0.5, -3.563997e-16, ,           0.5,   -0.00118828, ,           0.5,  -0.002376187, ,           0.5,  -0.003563345, ,           0.5,   -0.00474938, ,           0.5,  -0.005933921, ,           0.5,  -0.007116592, ,           0.5,  -0.008297024, ,           0.5,  -0.009474845, ,           0.5,   -0.01064969, ,           0.5,   -0.01182119, , 
            1,   0.001247428, ,             1,   0.002494444, ,             1,   0.003740638, ,             1,   0.004985597, ,             1,   0.006228911, ,             1,   0.007470166, ,             1,   0.008708951, ,             1,   0.009944857, ,             1,    0.01117747, ,             1,     0.0124064, ,             1, -4.311857e-16, ,             1,  -0.001247428, ,             1,  -0.002494444, ,             1,  -0.003740638, ,             1,  -0.004985597, ,             1,  -0.006228911, ,             1,  -0.007470166, ,             1,  -0.008708951, ,             1,  -0.009944857, ,             1,   -0.01117747, ,             1,    -0.0124064, , 
          1.5,   0.001306493, ,           1.5,   0.002612539, ,           1.5,    0.00391769, ,           1.5,   0.005221497, ,           1.5,   0.006523511, ,           1.5,   0.007823281, ,           1.5,   0.009120356, ,           1.5,    0.01041428, ,           1.5,    0.01170461, ,           1.5,    0.01299089, ,           1.5, -5.157562e-16, ,           1.5,  -0.001306493, ,           1.5,  -0.002612539, ,           1.5,   -0.00391769, ,           1.5,  -0.005221497, ,           1.5,  -0.006523511, ,           1.5,  -0.007823281, ,           1.5,  -0.009120356, ,           1.5,   -0.01041428, ,           1.5,   -0.01170461, ,           1.5,   -0.01299089, , 
            2,   0.001365385, ,             2,   0.002730289, ,             2,   0.004094229, ,             2,   0.005456722, ,             2,    0.00681728, ,             2,   0.008175415, ,             2,   0.009530632, ,             2,    0.01088244, ,             2,    0.01223034, ,             2,    0.01357384, ,             2, -6.079833e-16, ,             2,  -0.001365385, ,             2,  -0.002730289, ,             2,  -0.004094229, ,             2,  -0.005456722, ,             2,   -0.00681728, ,             2,  -0.008175415, ,             2,  -0.009530632, ,             2,   -0.01088244, ,             2,   -0.01223034, ,             2,   -0.01357384, , 
          2.5,   0.001424011, ,           2.5,    0.00284751, ,           2.5,   0.004269981, ,           2.5,   0.005690908, ,           2.5,   0.007109769, ,           2.5,   0.008526036, ,           2.5,   0.009939175, ,           2.5,    0.01134865, ,           2.5,    0.01275391, ,           2.5,    0.01415441, ,           2.5, -6.886548e-16, ,           2.5,  -0.001424011, ,           2.5,   -0.00284751, ,           2.5,  -0.004269981, ,           2.5,  -0.005690908, ,           2.5,  -0.007109769, ,           2.5,  -0.008526036, ,           2.5,  -0.009939175, ,           2.5,   -0.01134865, ,           2.5,   -0.01275391, ,           2.5,   -0.01415441, , 
            3,   0.001482275, ,             3,    0.00296401, ,             3,   0.004444662, ,             3,   0.005923684, ,             3,   0.007400521, ,             3,   0.008874609, ,             3,    0.01034537, ,             3,    0.01181222, ,             3,    0.01327457, ,             3,     0.0147318, ,             3, -7.677342e-16, ,             3,  -0.001482275, ,             3,   -0.00296401, ,             3,  -0.004444662, ,             3,  -0.005923684, ,             3,  -0.007400521, ,             3,  -0.008874609, ,             3,   -0.01034537, ,             3,   -0.01181222, ,             3,   -0.01327457, ,             3,    -0.0147318, , 
          3.5,   0.001540076, ,           3.5,   0.003079589, ,           3.5,   0.004617975, ,           3.5,    0.00615466, ,           3.5,   0.007689063, ,           3.5,   0.009220585, ,           3.5,    0.01074861, ,           3.5,    0.01227249, ,           3.5,    0.01379158, ,           3.5,    0.01530521, ,           3.5, -8.609877e-16, ,           3.5,  -0.001540076, ,           3.5,  -0.003079589, ,           3.5,  -0.004617975, ,           3.5,   -0.00615466, ,           3.5,  -0.007689063, ,           3.5,  -0.009220585, ,           3.5,   -0.01074861, ,           3.5,   -0.01227249, ,           3.5,   -0.01379158, ,           3.5,   -0.01530521, , 
