Alpha,-0.5, , Alpha,-1, , Alpha,-1.5, , Alpha,-2, , Alpha,-2.5, , Alpha,-3, , Alpha,-3.5, , Alpha,-4, , Alpha,-4.5, , Alpha,-5, , Alpha,0, , Alpha,0.5, , Alpha,1, , Alpha,1.5, , Alpha,2, , Alpha,2.5, , Alpha,3, , Alpha,3.5, , Alpha,4, , Alpha,4.5, , Alpha,5
0,0.077636, ,0,0.156541, ,0,0.227847, ,0,0.311052, ,0,0.389962, ,0,0.46657, ,0,0.54355, ,0,0.63252, ,0,0.672724, ,0,0.760092, ,0,-8.91E-17, ,0,-0.077636, ,0,-0.156541, ,0,-0.227847, ,0,-0.311052, ,0,-0.389962, ,0,-0.46657, ,0,-0.54355, ,0,-0.63252, ,0,-0.672724, ,0,-0.760092
0.5,0.078655, ,0.5,0.15453, ,0.5,0.232831, ,0.5,0.313605, ,0.5,0.404174, ,0.5,0.465075, ,0.5,0.539985, ,0.5,0.633211, ,0.5,0.699988, ,0.5,0.780195, ,0.5,-1.07E-16, ,0.5,-0.078655, ,0.5,-0.15453, ,0.5,-0.232831, ,0.5,-0.313605, ,0.5,-0.404174, ,0.5,-0.465075, ,0.5,-0.539985, ,0.5,-0.633211, ,0.5,-0.699988, ,0.5,-0.780195
1,0.078216, ,1,0.15617, ,1,0.234756, ,1,0.313129, ,1,0.389026, ,1,0.464312, ,1,0.541453, ,1,0.618284, ,1,0.701532, ,1,0.78317, ,1,-1.25E-16, ,1,-0.078216, ,1,-0.15617, ,1,-0.234756, ,1,-0.313129, ,1,-0.389026, ,1,-0.464312, ,1,-0.541453, ,1,-0.618284, ,1,-0.701532, ,1,-0.78317
1.5,0.078269, ,1.5,0.156594, ,1.5,0.23504, ,1.5,0.313016, ,1.5,0.390776, ,1.5,0.467649, ,1.5,0.550756, ,1.5,0.625447, ,1.5,0.704687, ,1.5,0.78288, ,1.5,-1.45E-16, ,1.5,-0.078269, ,1.5,-0.156594, ,1.5,-0.23504, ,1.5,-0.313016, ,1.5,-0.390776, ,1.5,-0.467649, ,1.5,-0.550756, ,1.5,-0.625447, ,1.5,-0.704687, ,1.5,-0.78288
2,0.078207, ,2,0.156748, ,2,0.235322, ,2,0.313768, ,2,0.393204, ,2,0.473295, ,2,0.55071, ,2,0.627665, ,2,0.707765, ,2,0.784618, ,2,-1.71E-16, ,2,-0.078207, ,2,-0.156748, ,2,-0.235322, ,2,-0.313768, ,2,-0.393204, ,2,-0.473295, ,2,-0.55071, ,2,-0.627665, ,2,-0.707765, ,2,-0.784618
2.5,0.078305, ,2.5,0.15685, ,2.5,0.235354, ,2.5,0.314012, ,2.5,0.394145, ,2.5,0.485927, ,2.5,0.565145, ,2.5,0.631831, ,2.5,0.707907, ,2.5,0.787071, ,2.5,-1.87E-16, ,2.5,-0.078305, ,2.5,-0.15685, ,2.5,-0.235354, ,2.5,-0.314012, ,2.5,-0.394145, ,2.5,-0.485927, ,2.5,-0.565145, ,2.5,-0.631831, ,2.5,-0.707907, ,2.5,-0.787071
3,0.078604, ,3,0.156959, ,3,0.235182, ,3,0.312957, ,3,0.390013, ,3,0.456955, ,3,0.536059, ,3,0.629633, ,3,0.706902, ,3,0.784532, ,3,-2.03E-16, ,3,-0.078604, ,3,-0.156959, ,3,-0.235182, ,3,-0.312957, ,3,-0.390013, ,3,-0.456955, ,3,-0.536059, ,3,-0.629633, ,3,-0.706902, ,3,-0.784532
3.5,0.078415, ,3.5,0.156889, ,3.5,0.237793, ,3.5,0.311956, ,3.5,0.389473, ,3.5,0.463978, ,3.5,0.537901, ,3.5,0.618709, ,3.5,0.706709, ,3.5,0.779466, ,3.5,-2.21E-16, ,3.5,-0.078415, ,3.5,-0.156889, ,3.5,-0.237793, ,3.5,-0.311956, ,3.5,-0.389473, ,3.5,-0.463978, ,3.5,-0.537901, ,3.5,-0.618709, ,3.5,-0.706709, ,3.5,-0.779466
4,0.078106, ,4,0.156465, ,4,0.234498, ,4,0.312385, ,4,0.392116, ,4,0.476456, ,4,0.551332, ,4,0.62374, ,4,0.700986, ,4,0.778925, ,4,-2.44E-16, ,4,-0.078106, ,4,-0.156465, ,4,-0.234498, ,4,-0.312385, ,4,-0.392116, ,4,-0.476456, ,4,-0.551332, ,4,-0.62374, ,4,-0.700986, ,4,-0.778925
4.5,0.078144, ,4.5,0.156152, ,4.5,0.233857, ,4.5,0.311357, ,4.5,0.389768, ,4.5,0.471115, ,4.5,0.55587, ,4.5,0.62472, ,4.5,0.700079, ,4.5,0.77816, ,4.5,-2.57E-16, ,4.5,-0.078144, ,4.5,-0.156152, ,4.5,-0.233857, ,4.5,-0.311357, ,4.5,-0.389768, ,4.5,-0.471115, ,4.5,-0.55587, ,4.5,-0.62472, ,4.5,-0.700079, ,4.5,-0.77816
