Alpha,-0.5, , Alpha,-1, , Alpha,-1.5, , Alpha,-2, , Alpha,-2.5, , Alpha,-3, , Alpha,-3.5, , Alpha,-4, , Alpha,-4.5, , Alpha,-5, , Alpha,0, , Alpha,0.5, , Alpha,1, , Alpha,1.5, , Alpha,2, , Alpha,2.5, , Alpha,3, , Alpha,3.5, , Alpha,4, , Alpha,4.5, , Alpha,5, , 
0,-0.004236, ,0,-0.008618, ,0,-0.011557, ,0,-0.016757, ,0,-0.021212, ,0,-0.024781, ,0,-0.02908, ,0,-0.036107, ,0,-0.028861, ,0,-0.038379, ,0,-2.73E-16, ,0,0.004236, ,0,0.008618, ,0,0.011557, ,0,0.016757, ,0,0.021212, ,0,0.024781, ,0,0.02908, ,0,0.036107, ,0,0.028861, ,0,0.038379, , 
0.5,-0.005491, ,0.5,-0.01066, ,0.5,-0.015982, ,0.5,-0.021796, ,0.5,-0.029238, ,0.5,-0.031527, ,0.5,-0.036969, ,0.5,-0.042243, ,0.5,-0.046006, ,0.5,-0.053315, ,0.5,-3.56E-16, ,0.5,0.005491, ,0.5,0.01066, ,0.5,0.015982, ,0.5,0.021796, ,0.5,0.029238, ,0.5,0.031527, ,0.5,0.036969, ,0.5,0.042243, ,0.5,0.046006, ,0.5,0.053315, , 
1,-0.006686, ,1,-0.013307, ,1,-0.019947, ,1,-0.026675, ,1,-0.032779, ,1,-0.038761, ,1,-0.0456, ,1,-0.052041, ,1,-0.058708, ,1,-0.066464, ,1,-4.31E-16, ,1,0.006686, ,1,0.013307, ,1,0.019947, ,1,0.026675, ,1,0.032779, ,1,0.038761, ,1,0.0456, ,1,0.052041, ,1,0.058708, ,1,0.066464, , 
1.5,-0.008005, ,1.5,-0.015984, ,1.5,-0.023942, ,1.5,-0.031838, ,1.5,-0.039533, ,1.5,-0.047104, ,1.5,-0.055534, ,1.5,-0.062999, ,1.5,-0.070933, ,1.5,-0.078988, ,1.5,-5.16E-16, ,1.5,0.008005, ,1.5,0.015984, ,1.5,0.023942, ,1.5,0.031838, ,1.5,0.039533, ,1.5,0.047104, ,1.5,0.055534, ,1.5,0.062999, ,1.5,0.070933, ,1.5,0.078988, , 
2,-0.009374, ,2,-0.018753, ,2,-0.028099, ,2,-0.0374, ,2,-0.046686, ,2,-0.055979, ,2,-0.065068, ,2,-0.074182, ,2,-0.083439, ,2,-0.092717, ,2,-6.08E-16, ,2,0.009374, ,2,0.018753, ,2,0.028099, ,2,0.0374, ,2,0.046686, ,2,0.055979, ,2,0.065068, ,2,0.074182, ,2,0.083439, ,2,0.092717, , 
2.5,-0.010817, ,2.5,-0.021635, ,2.5,-0.03241, ,2.5,-0.043155, ,2.5,-0.053996, ,2.5,-0.066153, ,2.5,-0.076901, ,2.5,-0.086069, ,2.5,-0.096389, ,2.5,-0.107057, ,2.5,-6.89E-16, ,2.5,0.010817, ,2.5,0.021635, ,2.5,0.03241, ,2.5,0.043155, ,2.5,0.053996, ,2.5,0.066153, ,2.5,0.076901, ,2.5,0.086069, ,2.5,0.096389, ,2.5,0.107057, , 
3,-0.012346, ,3,-0.024617, ,3,-0.036844, ,3,-0.048984, ,3,-0.060895, ,3,-0.071353, ,3,-0.08339, ,3,-0.097486, ,3,-0.109461, ,3,-0.121431, ,3,-7.68E-16, ,3,0.012346, ,3,0.024617, ,3,0.036844, ,3,0.048984, ,3,0.060895, ,3,0.071353, ,3,0.08339, ,3,0.097486, ,3,0.109461, ,3,0.121431, , 
3.5,-0.013857, ,3.5,-0.027665, ,3.5,-0.041408, ,3.5,-0.055041, ,3.5,-0.068436, ,3.5,-0.081339, ,3.5,-0.094313, ,3.5,-0.108379, ,3.5,-0.122757, ,3.5,-0.136136, ,3.5,-8.61E-16, ,3.5,0.013857, ,3.5,0.027665, ,3.5,0.041408, ,3.5,0.055041, ,3.5,0.068436, ,3.5,0.081339, ,3.5,0.094313, ,3.5,0.108379, ,3.5,0.122757, ,3.5,0.136136, , 
4,-0.015393, ,4,-0.030784, ,4,-0.046105, ,4,-0.061367, ,4,-0.076693, ,4,-0.09246, ,4,-0.107216, ,4,-0.121706, ,4,-0.136752, ,4,-0.151742, ,4,-9.33E-16, ,4,0.015393, ,4,0.030784, ,4,0.046105, ,4,0.061367, ,4,0.076693, ,4,0.09246, ,4,0.107216, ,4,0.121706, ,4,0.136752, ,4,0.151742, , 
4.5,-0.017016, ,4.5,-0.033983, ,4.5,-0.050887, ,4.5,-0.067723, ,4.5,-0.084565, ,4.5,-0.101752, ,4.5,-0.119619, ,4.5,-0.134881, ,4.5,-0.151182, ,4.5,-0.167701, ,4.5,-1.02E-15, ,4.5,0.017016, ,4.5,0.033983, ,4.5,0.050887, ,4.5,0.067723, ,4.5,0.084565, ,4.5,0.101752, ,4.5,0.119619, ,4.5,0.134881, ,4.5,0.151182, ,4.5,0.167701, , 
5,-0.018655, ,5,-0.037233, ,5,-0.055724, ,5,-0.074069, ,5,-0.092062, ,5,-0.108874, ,5,-0.126446, ,5,-0.147381, ,5,-0.165525, ,5,-0.183353, ,5,-1.09E-15, ,5,0.018655, ,5,0.037233, ,5,0.055724, ,5,0.074069, ,5,0.092062, ,5,0.108874, ,5,0.126446, ,5,0.147381, ,5,0.165525, ,5,0.183353, , 
